Store,Product,Size,Price,Url,Category
"Ralphs_13321 Jamboree Rd, Tustin, CA",LaMarca Prosecco Sparkling Wine,750 mL,18.56,https://www.kroger.com/product/images/medium/front/0008500001773,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Apothic Red Blend Red Wine,750 mL,11.42,https://www.kroger.com/product/images/medium/front/0008500001774,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Stella Rosa Black Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008787263336,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Andre Brut Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000743,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Menage a Trois California Red Table Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0009998807109,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Andre Extra Dry Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000748,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Barefoot Pink Moscato Blush Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500002045,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Clos du Bois Chardonnay White Wine,750 mL,8.56,https://www.kroger.com/product/images/medium/front/0008735651012,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Stella Rosa L'Original Stella Rosso Red Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263013,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Barefoot Pinot Grigio White Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500001444,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Meiomi Pinot Noir Red Wine,750 mL,24.27,https://www.kroger.com/product/images/medium/front/0085516500507,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Barefoot Cellars Pinot Grigio White Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0008500001443,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Barefoot Moscato White Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500001668,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Stella Rosa Peach Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263221,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Ruffino Prosecco Sparkling White Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008308590408,Wine
"Ralphs_13321 Jamboree Rd, Tustin, CA",Cook's Brut White Champagne Sparkling Wine,750 mL,8.99,https://www.kroger.com/product/images/medium/front/0008380404721,Wine
