Store,Product,Size,Price,Url,Category
"Ralphs_13321 Jamboree Rd, Tustin, CA",Banana,,0.3,https://www.kroger.com/product/images/medium/front/0000000004011,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Grapes - White Seedless -  Sold by the Bag - Estimated Bag Weight 2 Pounds,,5.98,https://www.kroger.com/product/images/medium/front/0000000004022,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Apples - Gala - Small,,0.59,https://www.kroger.com/product/images/medium/front/0000000004132,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Grapes - Red - Seedless - Sold by the Bag - Estimated Bag Weight 2 Pounds,,4.98,https://www.kroger.com/product/images/medium/front/0000000004023,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Bananas,,0.3,https://www.kroger.com/product/images/medium/front/0007490404011,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Apple - Honeycrisp,,1.7,https://www.kroger.com/product/images/medium/front/0000000003283,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Organic Banana,,0.35,https://www.kroger.com/product/images/medium/front/0000000094011,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Apple - Granny Smith - Small,,0.68,https://www.kroger.com/product/images/medium/front/0000000004139,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Krogerå¨ Gala Apples Pouch,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111091825,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Banana - Plantains,1 each,0.59,https://www.kroger.com/product/images/medium/front/0000000004235,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Krogerå¨ Honeycrisp Apples Pouch,3 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111018189,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Simple Truth Organic‰ã¢ Gala Apples Pouch,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111069101,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Grapes - Black- Seedless - Sold by the Bag - Estimated Bag Weight 2 Pounds,,4.98,https://www.kroger.com/product/images/medium/front/0000000004056,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Small Fuji Apples,,0.59,https://www.kroger.com/product/images/medium/front/0000000004129,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Krogerå¨ Fuji Apples Pouch,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111018188,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Apple - Red Delicious - Small,,0.59,https://www.kroger.com/product/images/medium/front/0000000004015,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Pear - Bartlett,,0.94,https://www.kroger.com/product/images/medium/front/0000000004409,fruits
"Ralphs_13321 Jamboree Rd, Tustin, CA",Simple Truth Organic‰ã¢ Honeycrisp Apples Pouch,2 lb,5.99,https://www.kroger.com/product/images/medium/front/0001111069106,fruits
