Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Maximum Strength Honey Cough &amp; Chest Congestion DM Relief Medicine,8 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0030031875618,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Children's Cough &amp; Cold Grape Flavored Medicine,4 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0030031871612,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Coricidin HBP Cherry Nighttime Multi-Symptom Cold Medicine,12 Fl Oz,9.49,https://www.kroger.com/product/images/medium/front/0004110080884,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Dimetapp Children's Grape Cold &amp; Cough Liquid Medicine,4 fl oz,8.99,https://www.kroger.com/product/images/medium/front/0030031223413,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Children's Honey Cough &amp; Chest Congestion DM Relief Medicine,4 fl oz,5.99,https://www.kroger.com/product/images/medium/right/0030031876012,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Severe Cough + Sore Throat CF Max Medicine,8 fl oz,13.99,https://www.kroger.com/product/images/medium/front/0030031875018,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Mucinex Children's Very Berry Multi-Symptom Cold Liquid,4 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0036382401064,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Kroger® Non-Drowsy Tussin CF Multi-Symptom Cold Liquid Medicine,8 fl oz,9.99,https://www.kroger.com/product/images/medium/front/0004126033472,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Dimetapp Children's Grape Cold &amp; Allergy Liquid Medicine,8 fl oz,13.49,https://www.kroger.com/product/images/medium/front/0030031223519,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Kroger® Children's Grape Flavored Cough Suppressant Cough DM Liquid,3 fl oz,6.29,https://www.kroger.com/product/images/medium/front/0004126000205,Cough medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) HALLS Kids Cherry Flavor Cough &amp; Sore Throat Pops 10 Count,10 ct,6.49,https://www.kroger.com/product/images/medium/front/0031254600297,Cough medicine
