Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Bleached All-Purpose Enriched Flour,5 lb,1.99,https://www.kroger.com/product/images/medium/front/0001111085402,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Unbleached All Purpose Enriched Flour,5 lb,1.99,https://www.kroger.com/product/images/medium/front/0001111086116,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Old El Paso Stand 'n Stuff Taco Shells 10 Count,4.7 oz,1.99,https://www.kroger.com/product/images/medium/front/0004600027918,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Gold Medal All Purpose Flour,5 lb,2.69,https://www.kroger.com/product/images/medium/front/0001600010610,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Gold Medal All Purpose Flour,2 lb,2.29,https://www.kroger.com/product/images/medium/front/0001600010710,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Bleached All Purpose Enriched Flour,2 lb,1.59,https://www.kroger.com/product/images/medium/front/0001111085401,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Old El Paso Hard &amp; Soft Taco Dinner Kit,11.4 oz,3.5,https://www.kroger.com/product/images/medium/front/0004600028734,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Gold Medal Unbleached All Purpose Flour,5 lb,2.69,https://www.kroger.com/product/images/medium/front/0001600019610,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Simple Truth Organic™ Unbleached All-Purpose Flour,5 lb,4.79,https://www.kroger.com/product/images/medium/front/0001111084716,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Swans Down Cake Flour,2 lb,4.49,https://www.kroger.com/product/images/medium/front/0004790013010,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Old El Paso Soft Taco Dinner Kit,12.5 oz,3.5,https://www.kroger.com/product/images/medium/front/0004600028732,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Bleached Self Rising Enriched Flour,5 lb,1.99,https://www.kroger.com/product/images/medium/front/0001111085415,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Baker's Joy Cooking Spray with Flour,5 oz,3.69,https://www.kroger.com/product/images/medium/front/0060502177400,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Gold Medal All-Purpose Flour,10 lb,5.29,https://www.kroger.com/product/images/medium/front/0001600010410,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Old El Paso Crunchy Taco Shells 12 Count,4.6 oz,1.99,https://www.kroger.com/product/images/medium/front/0004600081101,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Bob's Red Mill Super-Fine Almond Flour,16 oz,13.99,https://www.kroger.com/product/images/medium/front/0003997805381,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® White Whole Wheat Milled Flour,5 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111089866,Flour
"Ralphs_14400 Culver Dr, Irvine, CA",Bob's Red Mill 1 To 1 Baking Flour,22 oz,6.19,https://www.kroger.com/product/images/medium/front/0003997803453,Flour
