Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Pepto Bismol Symptom Relief Liquid Medicine,8 fl oz,5.79,https://www.kroger.com/product/images/medium/front/0030149003908,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Kroger® Non-Drowsy Tussin CF Multi-Symptom Cold Liquid Medicine,8 fl oz,9.99,https://www.kroger.com/product/images/medium/front/0004126033472,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Coricidin HBP Cherry Nighttime Multi-Symptom Cold Medicine,12 Fl Oz,9.49,https://www.kroger.com/product/images/medium/front/0004110080884,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Maximum Strength Honey Cough &amp; Chest Congestion DM Relief Medicine,8 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0030031875618,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Tylenol Infants’ Cherry Flavor Pain + Fever Medicine,2 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0030045016762,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Dimetapp Children's Grape Cold &amp; Cough Liquid Medicine,4 fl oz,8.99,https://www.kroger.com/product/images/medium/front/0030031223413,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Benadryl Children's Allergy Relief Cherry Liquid 12.5mg,4 fl oz,7.99,https://www.kroger.com/product/images/medium/front/0035058053404,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Severe Cough + Sore Throat CF Max Medicine,8 fl oz,13.99,https://www.kroger.com/product/images/medium/front/0030031875018,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Dimetapp Children's Grape Cold &amp; Allergy Liquid Medicine,8 fl oz,13.49,https://www.kroger.com/product/images/medium/front/0030031223519,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Children's Cough &amp; Cold Grape Flavored Medicine,4 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0030031871612,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Children's Zyrtec Allergy Dye-Free Sugar-Free Grape Syrup,4 fl oz,11.99,https://www.kroger.com/product/images/medium/front/0030045020904,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Robitussin Children's Honey Cough &amp; Chest Congestion DM Relief Medicine,4 fl oz,5.99,https://www.kroger.com/product/images/medium/right/0030031876012,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Loratadine Allergy Relief Tablets,30 ct,4.49,https://www.kroger.com/product/images/medium/front/0001111037649,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Claritin Non-Drowsy Indoor &amp; Outdoor Allergies for Juniors &amp; Up RediTabs Tablets,30 ct,24.99,https://www.kroger.com/product/images/medium/front/0004110057043,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Children's Benadryl Bubble Gum Dye-Free Allergy Liquid,4 fl oz,7.99,https://www.kroger.com/product/images/medium/front/0035058053504,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Flonase Children's Sensimist Allergy Relief,0.20 fl oz,14.99,https://www.kroger.com/product/images/medium/front/0035310020230,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Severe Daytime Non-Drowsy Sinus Congestion &amp; Pain Caplets,24 ct,5.29,https://www.kroger.com/product/images/medium/front/0004126000349,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Kroger® Children's Cherry Flavor Pain &amp; Fever Relief,4 fl oz,4.99,https://www.kroger.com/product/images/medium/front/0004126036467,Medicine
"Ralphs_14400 Culver Dr, Irvine, CA",(MAX 3) Motrin Infants' Drops Dye-Free Original Berry Ibuprofen Oral Suspension,1 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0030045019801,Medicine
