Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Long Grain Brown Rice,16 oz,0.79,https://www.kroger.com/product/images/medium/front/0001111089711,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Long Grain Rice,5 lb,2.49,https://www.kroger.com/product/images/medium/front/0001111084703,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Ready Rice Jasmine,8.5 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480034446,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Mahatma Extra Long Grain Rice,32 oz,2.99,https://www.kroger.com/product/images/medium/front/0001740010675,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Thai Jasmine Rice,32 oz,2.99,https://www.kroger.com/product/images/medium/front/0001111086084,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Minute Light &amp; Fluffy Instant White Rice,14 oz,2.69,https://www.kroger.com/product/images/medium/front/0001740011805,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Ready Rice Whole Grain Brown Rice,8.8 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480003177,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Mahatma Extra Long Grain Enriched Rice,5 lb,5.99,https://www.kroger.com/product/images/medium/front/0001740010932,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® 90 Second Jasmine Rice Pouch,8.8 oz,1.59,https://www.kroger.com/product/images/medium/front/0001111001950,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Instant Microwaveable White Rice,14 oz,1.99,https://www.kroger.com/product/images/medium/front/0001111084726,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Ready Rice Long Grain &amp; Wild Rice,8.8 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480003077,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Mahatma Jasmine Long Grain Rice,32 oz,3.99,https://www.kroger.com/product/images/medium/front/0001740010695,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Minute Instant White Rice,28 oz,3.99,https://www.kroger.com/product/images/medium/front/0001740011810,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Serve &amp; Savor Enriched Long Grain White Rice,5 lb,2.27,https://www.kroger.com/product/images/medium/front/0001111003734,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Ready Rice Roasted Chicken,8.8 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480003076,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® 90 Second Whole Grain Brown Rice,8.8 oz,1.59,https://www.kroger.com/product/images/medium/front/0001111083733,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Long Grain Brown Rice,2 lb,1.55,https://www.kroger.com/product/images/medium/front/0001111089874,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Success Boil in Bag Precooked White Rice,4 ct / 3.5 oz,2.99,https://www.kroger.com/product/images/medium/front/0001740010077,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Ready Rice Spanish Style 8.8oz,8.8 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480003080,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Instant Microwaveable White Rice,28 oz,2.69,https://www.kroger.com/product/images/medium/front/0001111084727,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Minute 100% Whole Grain Instant Brown Rice,14 oz,2.69,https://www.kroger.com/product/images/medium/front/0001740011845,Rice
"Ralphs_14400 Culver Dr, Irvine, CA",Uncle Ben's Cilantro Lime Ready Rice,8.5 oz,2.19,https://www.kroger.com/product/images/medium/front/0005480042184,Rice
