Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",TRESemme Moisture Rich Shampoo,28 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0002240039365,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Suave Men 3-in-1 Citrus Rush Shampoo + Conditioner + Body Wash,28 fl oz,5.49,https://www.kroger.com/product/images/medium/front/0007940006296,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Old Spice Swagger 2-In-1 Shampoo &amp; Conditioner,25.3 fl oz,6.99,https://www.kroger.com/product/images/medium/front/0001204404048,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",VO5 Extra Body Volumizing Shampoo,12.5 fl oz,0.89,https://www.kroger.com/product/images/medium/front/0081655901286,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Axe Hair Apollo Sage &amp; Cedarwood 2-In-1 Shampoo &amp; Conditioner,16 fl oz,6.49,https://www.kroger.com/product/images/medium/front/0007940046105,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",VO5 Moisture Milks Strawberries &amp; Cream Moisturizing Shampoo,12.5 fl oz,0.89,https://www.kroger.com/product/images/medium/front/0081655901302,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Axe Hair Phoenix Clean &amp; Refreshed 2-in-1 Shampoo &amp; Conditioner,16 fl oz,6.49,https://www.kroger.com/product/images/medium/front/0007940046170,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Garnier Fructis Sleek &amp; Shine Paraben-Free Fortifying Shampoo,12.5 fl oz,2.99,https://www.kroger.com/product/images/medium/front/0060308449125,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Axe Hair Ice Chill 2-In-1 Shampoo &amp; Conditioner,16 fl oz,6.49,https://www.kroger.com/product/images/medium/front/0007940046121,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Pantene Pro-V Daily Moisture Renewal Shampoo,25.4 fl oz,6.79,https://www.kroger.com/product/images/medium/front/0008087817132,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Dial For Men Recharge 3-in-1 Revitalizing Body Wash,16 fl oz,3.5,https://www.kroger.com/product/images/medium/front/0001700015513,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",TRESemme Smooth &amp; Silky Frizz Control Shampoo,28 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0002240039368,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Suave Daily Clarifying Shampoo,30 Fl Oz,1.99,https://www.kroger.com/product/images/medium/front/0007940058853,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",VO5 Herbal Escapes Kiwi Lime Squeeze Clarifying Shampoo,12.5 fl oz,0.89,https://www.kroger.com/product/images/medium/front/0081655901290,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Ogx Nourishing Coconut Milk Shampoo,13 fl oz,6,https://www.kroger.com/product/images/medium/front/0002279691005,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Johnson's Newborn Head-To-Toe Wash &amp; Shampoo,16.9 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0038137117567,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",Suave Tropical Coconut Shampoo,30 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0007940058852,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",VO5 Normal Balancing Shampoo,12.5 fl oz,0.89,https://www.kroger.com/product/images/medium/front/0081655901292,Shampoo
"Ralphs_14400 Culver Dr, Irvine, CA",L'Oreal Paris Elvive Color Vibrancy Purple Shampoo,6.7 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0360052382694,Shampoo
