Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Profreshionals by GoodCook® Stainless Steel Meat Thermometer - Silver,2 Inch,3.99,https://www.kroger.com/product/images/medium/front/0007675352387,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Stainless Steel Meat Thermometer - Silver,8.75 x 3.75 in,6.39,https://www.kroger.com/product/images/medium/front/0004122668477,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Stainless Steel Instant Read Thermometer - Silver,1 in,7.19,https://www.kroger.com/product/images/medium/front/0004122668475,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Profreshionals by GoodCook® Instant Read Thermometer with Cover - Black,1 ct,4.99,https://www.kroger.com/product/images/medium/front/0007675352385,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Stainless Steel Oven Thermometer,1 ct,5.99,https://www.kroger.com/product/images/medium/front/0004122668478,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Instant Digital Thermometer - Silver,1 ct,9.59,https://www.kroger.com/product/images/medium/front/0004122668523,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Candy/Fry Thermometer - Clear,1 ct,5.99,https://www.kroger.com/product/images/medium/front/0004122668476,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Profreshionals by GoodCook® Mini Meat Thermometers - Silver,2 Count,5.99,https://www.kroger.com/product/images/medium/front/0007675352386,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",GoodCook® Pro Instant-Read Thermometer - Gray,8.7 in,11.99,https://www.kroger.com/product/images/medium/front/0007675320881,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living® Digital Meat Thermometer with Probe - White,1 ct,23.99,https://www.kroger.com/product/images/medium/front/0004122686140,Thermometer
"Ralphs_14400 Culver Dr, Irvine, CA",Everyday Living Refrigerator Thermometer - Silver,1 Count,5.99,https://www.kroger.com/product/images/medium/front/0004122668479,Thermometer
