Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Dasani Purified Bottled Water,24 bottles / 16.9 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0004900003165,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Nestle Pure Life Purified Water,24 bottles / 16.9 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0006827493471,Water
"Ralphs_14400 Culver Dr, Irvine, CA",(LMTD QTY) SmartWater Vapor Distilled Water with Electrolytes,6 bottles / 33.8 fl oz,9.99,https://www.kroger.com/product/images/medium/front/0078616200281,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Alkaline Water,23.7 fl oz,0.99,https://www.kroger.com/product/images/medium/front/0001111087950,Water
"Ralphs_14400 Culver Dr, Irvine, CA",BODYARMOR Electrolyte Sport Water,1 L,1.88,https://www.kroger.com/product/images/medium/front/0085817600215,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Arrowhead Mountain Spring Water,24 bottles / 16.9 fl oz,4.99,https://www.kroger.com/product/images/medium/front/0007114200400,Water
"Ralphs_14400 Culver Dr, Irvine, CA",(LMTD QTY) Smartwater Water,6 bottles / 23.7 fl oz,8.49,https://www.kroger.com/product/images/medium/front/0078616200514,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Nestle Splash Natural Lemon Flavored Water,6 bottles / 16.9 fl oz,1.5,https://www.kroger.com/product/images/medium/front/0006827491146,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Nestle Splash Wild Berry Flavored Water,6 bottles / 16.9 fl oz,1.5,https://www.kroger.com/product/images/medium/front/0006827434217,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Dasani Purified Water,20 fl oz,1.69,https://www.kroger.com/product/images/medium/front/0004900000977,Water
"Ralphs_14400 Culver Dr, Irvine, CA",(LMTD QTY) SmartWater Vapor Distilled Water,6 ct / 16.9 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0078616200369,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Dasani Purified Water,1 L,1.67,https://www.kroger.com/product/images/medium/front/0004900002656,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Nestle Splash Acai Grape Flavored Water,6 bottles / 16.9 fl oz,1.5,https://www.kroger.com/product/images/medium/front/0006827434225,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Nestle Splash Mandarin Orange Water Bottle,6 bottles / 16.9 fl oz,1.5,https://www.kroger.com/product/images/medium/front/0006827491147,Water
"Ralphs_14400 Culver Dr, Irvine, CA",FIJI Natural Artesian Water,1.5 L,3.19,https://www.kroger.com/product/images/medium/front/0063256500003,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Aquafina Water,20 fl oz,1.79,https://www.kroger.com/product/images/medium/front/0001200000159,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Ralphs Purified Drinking Water,32 bottles / 16.9 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0001111080335,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Acqua Panna Natural Spring Water Bottles,6 bottles / 16.9 fl oz,3.5,https://www.kroger.com/product/images/medium/front/0004150840015,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Purified Drinking Water,1 L,0.89,https://www.kroger.com/product/images/medium/front/0001111078975,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Purified Water Mini Bottles,24 bottles / 8 fl oz,2.99,https://www.kroger.com/product/images/medium/front/0001111085808,Water
"Ralphs_14400 Culver Dr, Irvine, CA",LIFEWTR Purified Bottled Water,23.7 fl oz,1,https://www.kroger.com/product/images/medium/front/0001200016116,Water
"Ralphs_14400 Culver Dr, Irvine, CA",Propel Grape Flavored Elecrolyte Water Beverage,6 bottles / 16.9 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0005200050648,Water
