Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",LaMarca Prosecco Sparkling Wine,750 mL,18.56,https://www.kroger.com/product/images/medium/front/0008500001773,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Apothic Red Blend Red Wine,750 mL,11.42,https://www.kroger.com/product/images/medium/front/0008500001774,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Stella Rosa Black Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008787263336,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Andre Extra Dry Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000748,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Andre Brut Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000743,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Menage a Trois California Red Table Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0009998807109,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Alamos Malbec Argentina Red Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0008500001819,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Stella Rosa L'Original Stella Rosso Red Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263013,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Cook's Brut White Champagne Sparkling Wine,750 mL,8.99,https://www.kroger.com/product/images/medium/front/0008380404721,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Ecco Domani Pinot Grigio White Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0008500000843,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Dark Horse Cabernet Sauvignon Red Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0008500002030,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Stella Rosa L'Originale Moscato D'Asti Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263012,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Meiomi Pinot Noir Red Wine,750 mL,24.27,https://www.kroger.com/product/images/medium/front/0085516500507,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Black Box Cabernet Sauvignon Red Wine,3 L,19.99,https://www.kroger.com/product/images/medium/front/0008143400003,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",La Vieille Ferme Rose Wine,750 mL,7.99,https://www.kroger.com/product/images/medium/front/0008941900017,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Lamarca Sparkling Prosecco Wine,187 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500002243,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Stella Rosa Peach Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263221,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Barefoot Pinot Grigio White Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500001444,Wine
"Ralphs_14400 Culver Dr, Irvine, CA",Barefoot Pink Moscato Blush Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500002045,Wine
