Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Banana,,0.3,https://www.kroger.com/product/images/medium/front/0000000004011,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Grapes - White Seedless -  Sold by the Bag - Estimated Bag Weight 2 Pounds,,5.98,https://www.kroger.com/product/images/medium/front/0000000004022,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Bananas,,0.3,https://www.kroger.com/product/images/medium/front/0007490404011,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Grapes - Red - Seedless - Sold by the Bag - Estimated Bag Weight 2 Pounds,,4.98,https://www.kroger.com/product/images/medium/front/0000000004023,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Apples - Gala - Small,,0.59,https://www.kroger.com/product/images/medium/front/0000000004132,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Apple - Honeycrisp,,1.7,https://www.kroger.com/product/images/medium/front/0000000003283,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Organic Banana,,0.35,https://www.kroger.com/product/images/medium/front/0000000094011,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Apple - Granny Smith - Small,,0.68,https://www.kroger.com/product/images/medium/front/0000000004139,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Gala Apples Pouch,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111091825,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Honeycrisp Apples Pouch,3 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111018189,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Banana - Plantains,1 each,0.59,https://www.kroger.com/product/images/medium/front/0000000004235,fruits
"Ralphs_14400 Culver Dr, Irvine, CA",Simple Truth Organic™ Gala Apples Pouch,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111069101,fruits
