Store,Product,Size,Price,Url,Category
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger Veggie Blend Salad,12 oz,2.49,https://www.kroger.com/product/images/medium/front/0001111091048,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Vegetable Medley,32 oz,3.99,https://www.kroger.com/product/images/medium/front/0001111079548,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Eat Smart Sweet Kale Vegetable Salad Kit,12 oz,3.34,https://www.kroger.com/product/images/medium/front/0070935189142,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Dole Very Veggie Salad Mx,10 oz,2.69,https://www.kroger.com/product/images/medium/front/0007143001008,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Veggie Tray,38 oz,8.99,https://www.kroger.com/product/images/medium/front/0001111002462,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Veggie Tray with Dip,20 oz,4.99,https://www.kroger.com/product/images/medium/front/0001111091133,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Country Crock Original Vegetable Oil Spread Tub,45 oz,3.99,https://www.kroger.com/product/images/medium/front/0002740026499,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Eat Smart Strawberry Harvest Vegetable Salad Kit,10 oz,3.34,https://www.kroger.com/product/images/medium/front/0070935130141,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Vegetable Snack Tray with Ranch Dip,6 oz,2.49,https://www.kroger.com/product/images/medium/front/0001111091484,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Veggie Tray with Dip,40 oz,8.99,https://www.kroger.com/product/images/medium/front/0001111091132,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Tommy's Superfoods Seasoned Vegetable Medley,10 oz,3.5,https://www.kroger.com/product/images/medium/front/0085550000241,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Simple Truth Organic™ Vegetable Tray with Dip,16 oz,5.99,https://www.kroger.com/product/images/medium/front/0001111091134,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Pure Vegetable Oil,48 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0001111085605,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Mixed Vegetables Meal Ready Sides,12 oz,1.0,https://www.kroger.com/product/images/medium/front/0001111084962,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Country Crock Dairy Free Olive Oil Plant Butter,16 oz,3.99,https://www.kroger.com/product/images/medium/front/0002740000022,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",StarKist Chunk Light Tuna in Vegetable Oil,5 oz,1.19,https://www.kroger.com/product/images/medium/front/0008000000674,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Meal-Ready Sides California Style Vegetables,12 oz,1.5,https://www.kroger.com/product/images/medium/front/0001111089782,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Blue Bonnet Vegetable Oil Spread,15 oz,2.29,https://www.kroger.com/product/images/medium/front/0002700000900,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Country Crock Calcium Vegetable Oil Spread Tub,45 oz,3.99,https://www.kroger.com/product/images/medium/front/0002740026495,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Pure Vegetable Oil,1 gal,5.19,https://www.kroger.com/product/images/medium/front/0001111085606,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Crisco Pure Vegetable Oil,48 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0005150025362,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Kroger® Mixed Vegetables,15 oz,0.85,https://www.kroger.com/product/images/medium/front/0001111081119,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Country Crock Original Vegetable Oil Spread Tub,15 oz,2.69,https://www.kroger.com/product/images/medium/front/0002740010307,vegetables
"Ralphs_14400 Culver Dr, Irvine, CA",Wesson Pure Vegetable Oil,48 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0002700061286,vegetables
