Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lay's Classic Potato Chips,8 oz,2.99,https://www.kroger.com/product/images/medium/front/0002840019914,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Doritos Nacho Cheese Flavored Tortilla Chips,9.75 oz,2.49,https://www.kroger.com/product/images/medium/front/0002840064203,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ruffles Original Potato Chips,9 oz,4.29,https://www.kroger.com/product/images/medium/front/0002840015938,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Restaurant Style Tortilla Chips,10 oz,1.25,https://www.kroger.com/product/images/medium/front/0001111009114,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ruffles Cheddar &amp; Sour Cream Potato Chips,8.5 oz,4.29,https://www.kroger.com/product/images/medium/front/0002840015960,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Doritos Cool Ranch Flavored Tortilla Chips,9.75 oz,2.49,https://www.kroger.com/product/images/medium/front/0002840064132,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lay's Barbecue Flavored Potato Chips,7.75 oz,2.99,https://www.kroger.com/product/images/medium/front/0002840019961,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fritos Original Corn Chips,9.25 oz,2.99,https://www.kroger.com/product/images/medium/front/0002840058929,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lay’s Classic Potato Chips,13 oz,4.79,https://www.kroger.com/product/images/medium/front/0002840031041,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Classic Wavy Potato Chips,9.5 oz,1.99,https://www.kroger.com/product/images/medium/front/0001111003011,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Takis Fuego Chips,9.9 oz,2.49,https://www.kroger.com/product/images/medium/front/0075752800868,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Tostitos Scoops Tortilla Chips,10 oz,4.29,https://www.kroger.com/product/images/medium/front/0002840006408,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Doritos Spicy Nacho Flavored Tortilla Chips,9.75 oz,2.49,https://www.kroger.com/product/images/medium/front/0002840064204,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fritos Scoops Corn Chips,9.25 oz,2.99,https://www.kroger.com/product/images/medium/front/0002840058932,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lay's Sour Cream &amp; Onion Potato Chips,7.75 oz,2.99,https://www.kroger.com/product/images/medium/front/0002840019963,Chips
"Ralphs_6300 Irvine Blvd, Irvine, CA",Tostitos Restaurant Style Tortilla Chips,13 oz,4.29,https://www.kroger.com/product/images/medium/front/0002840006399,Chips
