Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth™ Natural Cage Free Grain Fed Grade AA Large Brown Eggs,12 ct,3.49,https://www.kroger.com/product/images/medium/front/0001111079769,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Grade AA Large Eggs Carton,12 ct,2.99,https://www.kroger.com/product/images/medium/front/0001111050516,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth™ Natural Cage Free Grade AA Large Brown Eggs,18 ct,4.99,https://www.kroger.com/product/images/medium/front/0001111087374,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Grade AA Large Eggs Carton,18 ct,3.99,https://www.kroger.com/product/images/medium/front/0001111050519,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Vital Farms Alfresco Pasture-Raised Grade A Large Eggs,12 ct,6.49,https://www.kroger.com/product/images/medium/front/0086174500001,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Eggland's Best Grade A Large Eggs,12 ct,3.99,https://www.kroger.com/product/images/medium/front/0071514150349,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Happy Egg Co. Free Range Grade A Large Brown Eggs,12 ct,5.49,https://www.kroger.com/product/images/medium/front/0088742200000,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Eggland's Best Grade A Extra Large Eggs,12 ct,4.29,https://www.kroger.com/product/images/medium/front/0071514172928,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pete and Gerry's Organic Free Range Large Eggs,12 ct,5.99,https://www.kroger.com/product/images/medium/front/0081565200214,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Eggland's Best Cage Free Large Brown Eggs,12 ct,4.69,https://www.kroger.com/product/images/medium/front/0071514151464,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Eggland's Best Organic Grade A Large Brown Eggs,12 ct,4.99,https://www.kroger.com/product/images/medium/front/0071514171682,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Cage Free Grade AA Large Brown Eggs,12 ct,4.99,https://www.kroger.com/product/images/medium/front/0001111079771,Eggs
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger Grade AA Medium Eggs,60 Count,10.99,https://www.kroger.com/product/images/medium/front/0001111086278,Eggs
