Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pepto Bismol Symptom Relief Liquid Medicine,8 fl oz,5.79,https://www.kroger.com/product/images/medium/front/0030149003908,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 3) Robitussin Maximum Strength Honey Cough &amp; Chest Congestion DM Relief Medicine,8 fl oz,10.99,https://www.kroger.com/product/images/medium/front/0030031875618,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Benadryl Children's Allergy Relief Cherry Liquid 12.5mg,4 fl oz,7.99,https://www.kroger.com/product/images/medium/front/0035058053404,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 3) Kroger® Non-Drowsy Tussin CF Multi-Symptom Cold Liquid Medicine,8 fl oz,9.99,https://www.kroger.com/product/images/medium/front/0004126033472,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Vaultz Locking Medicine Case,1 ct,13.99,https://www.kroger.com/product/images/medium/front/0082603000361,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 3) Dimetapp Children's Grape Cold &amp; Cough Liquid Medicine,4 fl oz,8.99,https://www.kroger.com/product/images/medium/front/0030031223413,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Claritin Non-Drowsy Indoor &amp; Outdoor Allergies for Juniors &amp; Up RediTabs Tablets,30 ct,24.99,https://www.kroger.com/product/images/medium/front/0004110057043,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Boiron Oscillococcinum Homeopathic Medicine,30 ct,34.99,https://www.kroger.com/product/images/medium/front/0030696287824,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 3) Robitussin Children's Honey Cough &amp; Chest Congestion DM Relief Medicine,4 fl oz,5.99,https://www.kroger.com/product/images/medium/right/0030031876012,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Flents Glass Medicine Droppers,2 ct,1.29,https://www.kroger.com/product/images/medium/front/0007760200508,Medicine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Children's Benadryl Allergy Grape Flavored Chewable Tablets,20 ct,7.99,https://www.kroger.com/product/images/medium/front/0030045055320,Medicine
