Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs 2% Reduced Fat Milk,1 gal,2.99,https://www.kroger.com/product/images/medium/front/0001111041376,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs Vitamin D Whole Milk,1 gal,3.39,https://www.kroger.com/product/images/medium/front/0001111040119,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Milk 2% Reduced Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702001,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Unsweetened Vanilla Almond Milk,1/2 gal,2.99,https://www.kroger.com/product/images/medium/front/0002529300136,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Whole Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702000,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free 2% Reduced Fat Milk,0.5 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111082556,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Milkadamia Raw Macadamias &amp; Coconut Vanilla Creamer,16 fl oz,4.19,https://www.kroger.com/product/images/medium/front/0085804500463,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fairlife 2% Reduced Fat Ultra Filtered Lactose Free Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0085631200277,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Milkadamia Raw Macadamias &amp; Coconut Unsweetened Vanilla Creamer,16 fl oz,4.19,https://www.kroger.com/product/images/medium/front/0085804500465,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  Vitamin D Whole Milk,1 pt,1.59,https://www.kroger.com/product/images/medium/front/0001111050274,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Nesquik Chocolate Low Fat Milk,6 bottles / 8 fl oz,5.69,https://www.kroger.com/product/images/medium/front/0002800073309,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  2% Reduced Fat Milk,1 qt,1.99,https://www.kroger.com/product/images/medium/front/0001111050323,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  Vitamin D Whole Milk,1 qt,1.99,https://www.kroger.com/product/images/medium/front/0001111050322,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Vanilla Almond Milk,1/2 gal,2.99,https://www.kroger.com/product/images/medium/front/0002529300099,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free Vitamin D Milk,1/2 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111085333,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  2% Reduced Fat Milk,1 pt,1.59,https://www.kroger.com/product/images/medium/front/0001111050277,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Blue Diamond Almond Breeze Vanilla Milk,1/2 gal,3.49,https://www.kroger.com/product/images/medium/front/0004157005621,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fairlife Chocolate 2% Reduced Fat Ultra-Filtered Lactose Free Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0085631200279,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  Low Fat Chocolate Milk,1 pt,1.29,https://www.kroger.com/product/images/medium/front/0001111050279,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free 2% Reduced Fat Milk,96 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0004138309072,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free Calcium Enriched 2% Milk,1/2 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111081818,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs 2% Reduced Fat Milk,1/2 Gallon,2.19,https://www.kroger.com/product/images/medium/front/0001111041375,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs Vitamin D Whole Milk,1/2 gal,2.19,https://www.kroger.com/product/images/medium/front/0001111040118,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fairlife Fat Free Ultra Filtered Lactose Free Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0085631200275,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Dark Chocolate Almond Milk,1/2 gal,2.99,https://www.kroger.com/product/images/medium/front/0002529300119,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free Calcium Enriched Fat Free Milk,1/2 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111085314,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free Whole Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0004138309036,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Nesquik Chocolate Flavored Low Fat Milk,14 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0002800077212,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid 100% Lactose Free 2% Reduced Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0004138309010,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free 1% Low Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0004138309022,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fairlife Whole Ultra-Filtered Lactose Free Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081162002016,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Milk 2% Reduced Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702001,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free Whole Milk,96 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0004138309073,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Whole Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702000,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs 1% Lowfat Milk,1 gal,2.99,https://www.kroger.com/product/images/medium/front/0001111041906,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Milkadamia Raw Macadamias &amp; Coconut Vanilla Creamer,16 fl oz,4.19,https://www.kroger.com/product/images/medium/front/0085804500463,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Original Almond &amp; Cashew Protein Milk,1/2 gal,3.99,https://www.kroger.com/product/images/medium/front/0002529300380,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Milkadamia Raw Macadamias &amp; Coconut Unsweetened Vanilla Creamer,16 fl oz,4.19,https://www.kroger.com/product/images/medium/front/0085804500465,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free 1% Low Fat Milk,1/2 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111089282,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Chobani Oat Plain Plant-Based Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081829001698,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Nesquik Strawberry Lowfat Milk,14 fl oz,1.99,https://www.kroger.com/product/images/medium/front/0002800051575,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth™ Almond Milk,1/2 gal,2.79,https://www.kroger.com/product/images/medium/front/0001111078577,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Horizon Organic Grassfed Whole Vitamin D Milk,1/2 gal,5.79,https://www.kroger.com/product/images/medium/front/0074236500707,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Chobani Oat Plain Extra Creamy Plant-Based Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081829001703,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Dairy Pure Whole Vitamin D Milk,1 gal,4.99,https://www.kroger.com/product/images/medium/front/0004190007638,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lowfat Chocolate Milk,1 qt,1.79,https://www.kroger.com/product/images/medium/front/0001111050326,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth™ Vanilla Almond Milk,1/2 gal,2.79,https://www.kroger.com/product/images/medium/front/0001111078578,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Thai Kitchen Unsweetened Coconut Milk,13.66 fl oz,3.29,https://www.kroger.com/product/images/medium/front/0073762801150,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Unsweetened Coconut Milk,64 fl oz,3.69,https://www.kroger.com/product/images/medium/front/0002529300228,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Dairy Pure 2% Reduced Fat Milk,1/2 gal,3.29,https://www.kroger.com/product/images/medium/front/0004190007663,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Unsweetened Cashew Milk,64 fl oz,3.77,https://www.kroger.com/product/images/medium/front/0002529300275,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Chobani Vanilla Oat Drink,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081829001699,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Blue Diamond Almond Breeze Reduced Sugar Vanilla Milk,1/2 gal,3.49,https://www.kroger.com/product/images/medium/front/0004157010964,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Dairy Pure 2% Reduced Fat Milk,1 gal,4.99,https://www.kroger.com/product/images/medium/front/0004190007661,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Fat Free Skim Milk,1 qt,1.99,https://www.kroger.com/product/images/medium/front/0001111050325,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Dairy Pure Vitamin D Whole Milk,1/2 gal,3.29,https://www.kroger.com/product/images/medium/front/0004190007641,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs Fat Free Skim Milk,1 gal,2.99,https://www.kroger.com/product/images/medium/front/0001111042317,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Meyenberg Vitamin D Goat Milk,1 Quart,4.69,https://www.kroger.com/product/images/medium/front/0007290400003,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Califia Farms Pure Toasted Coconut Almond Milk Blend,48 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0085290900342,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Chocolate Protein Almond &amp; Cashew Milk,1/2 gal,3.99,https://www.kroger.com/product/images/medium/left/0002529300451,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Fairlife Whole Milk,52 fl oz,4.49,https://www.kroger.com/product/images/medium/front/0081162002138,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger®  1% Lowfat Milk,1 qt,1.99,https://www.kroger.com/product/images/medium/front/0001111050324,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Whole Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702000,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Horizon Organic DHA Omega-3 Vitamin-D Milk,1/2 gal,5.49,https://www.kroger.com/product/images/medium/front/0074236526497,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Chobani Oat Plain Plant-Based Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081829001698,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Original Unsweetened Almond Milk,96 fl oz,3.59,https://www.kroger.com/product/images/medium/front/0002529300377,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Chobani Oat Plain Extra Creamy Plant-Based Milk,52 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081829001703,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Unsweetened Vanilla Almond Milk,96 fl oz,3.59,https://www.kroger.com/product/images/medium/front/0002529300379,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Reddi Wip Non-Dairy Almond Milk Whipped Topping,6 oz,3.99,https://www.kroger.com/product/images/medium/front/0007027249129,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free Calcium Fortified Reduced Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0004138309074,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",A2 Milk 2% Reduced Fat Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0081326702001,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Light Vanilla Almond Milk,1/2 gal,2.99,https://www.kroger.com/product/images/medium/front/0002529300217,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Silk Unsweetened Almond &amp; Coconut Milk Blend,1/2 gal,2.99,https://www.kroger.com/product/images/medium/front/0002529300242,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Horizon Organic 2% Reduced Fat Milk,1/2 gal,4.99,https://www.kroger.com/product/images/medium/front/0074236526475,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Milkadamia Raw Macadamias &amp; Coconut Vanilla Creamer,16 fl oz,4.19,https://www.kroger.com/product/images/medium/front/0085804500463,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ralphs 1% Lowfat Milk,Half Gallon,2.19,https://www.kroger.com/product/images/medium/front/0001111041905,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lactaid Lactose Free Fat Free Milk,64 fl oz,3.99,https://www.kroger.com/product/images/medium/front/0004138309043,Milk
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Lactose Free 1% Chocolate Milk,1/2 gal,3.69,https://www.kroger.com/product/images/medium/front/0001111079809,Milk
