Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Bounty Select-A-Size Big Roll Paper Towels,6 rolls,9.99,https://www.kroger.com/product/images/medium/front/0003700074699,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Kroger® Ultra Absorbing Power Full Sheet Paper Towels 6 Rolls,6 rolls,6.99,https://www.kroger.com/product/images/medium/front/0001111003994,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ziploc Container Variety Set - Clear/Blue,24 pc,9.99,https://www.kroger.com/product/images/medium/front/0002570070636,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Kroger® Ultra Absorbing Power Select-A-Sheet Paper Towels 6 Rolls,6 rolls,6.99,https://www.kroger.com/product/images/medium/front/0001111004015,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Kroger® Select-A-Sheet Double Paper Towels,6 rolls,9.99,https://www.kroger.com/product/images/medium/front/0001111004016,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Kroger® Select-A-Sheet Rugged + Reliable Paper Towels,10 rolls,9.99,https://www.kroger.com/product/images/medium/front/0001111004591,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ziploc Twist n Loc Value Pack - 6 1 Pt and 4 1 Qt Containers &amp; Lids,10 pc,5.49,https://www.kroger.com/product/images/medium/front/0002570071535,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Bounty Doubles Plus Select-A-Size Paper Towel Rolls,2 rolls,6.49,https://www.kroger.com/product/images/medium/front/0003700076213,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Brawny Tear-A-Square Paper Towels,6 rolls,7.99,https://www.kroger.com/product/images/medium/front/0004200044276,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Sparkle Pick-A-Size Modern White Paper Towels,2 rolls,3.29,https://www.kroger.com/product/images/medium/front/0003040022132,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Viva Signature Cloth Choose-A-Sheet Big Roll Paper Towels,6 rolls,8.99,https://www.kroger.com/product/images/medium/front/0003600049425,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Brawny Tear-A-Square Roll Paper Towels,2 rolls,5.99,https://www.kroger.com/product/images/medium/front/0004200041702,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Viva Multi-Surface Cloth Choose-A-Sheet Big Roll Paper Towels,6 rolls,8.99,https://www.kroger.com/product/images/medium/front/0003600049413,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Brawny White Full Sheets Paper Towels,6 ct,7.99,https://www.kroger.com/product/images/medium/front/0004200044252,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Brawny Pick-A-Size XL Roll Paper Towels,8 rolls,13.99,https://www.kroger.com/product/images/medium/front/0004200044194,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Viva Multi-Surface Cloth Choose-A-Sheet Huge Roll Paper Towels,6 rolls,16.99,https://www.kroger.com/product/images/medium/front/0003600050777,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Bounty Select-a-Size Double Paper Towel Rolls,12 rolls,24.99,https://www.kroger.com/product/images/medium/front/0003700076209,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Bounty Select-A-Size 2-Ply Paper Towels Triple Rolls,6 rolls,19.99,https://www.kroger.com/product/images/medium/front/0003700076675,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Simple Truth™100% Recycled Paper Towels,6 rolls,8.49,https://www.kroger.com/product/images/medium/front/0001111003367,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Sparkle Pick-A-Size Modern White Paper Towels,6 rolls,6.99,https://www.kroger.com/product/images/medium/front/0003040022130,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Green Forest 100% Recycled Size-Your-Own Paper Towels,3 rolls,7.49,https://www.kroger.com/product/images/medium/front/0006366836203,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",Mikasa Gourmet Basics Rope Paper Towel Holder - Black,6.5 x 14 in,18.99,https://www.kroger.com/product/images/medium/front/0088599115094,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Field Day 100% Recycled Jumbo Paper Towel Rolls,1 roll,2.69,https://www.kroger.com/product/images/medium/front/0004256360042,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Nautral Value 100% Recycled Paper Towels,1 roll,1.79,https://www.kroger.com/product/images/medium/front/0070617300353,Paper towels
"Ralphs_6300 Irvine Blvd, Irvine, CA",(MAX 2) Kleenex Disposable Paper Hand Towels 6 Pack,60 ct,3.29,https://www.kroger.com/product/images/medium/front/0003600038587,Paper towels
