Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",LaMarca Prosecco Sparkling Wine,750 mL,18.56,https://www.kroger.com/product/images/medium/front/0008500001773,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apothic Red Blend Red Wine,750 mL,11.42,https://www.kroger.com/product/images/medium/front/0008500001774,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Stella Rosa Black Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008787263336,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Andre Brut Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000743,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Cellars Pinot Grigio White Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0008500001443,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Andre Extra Dry Champagne Sparkling Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500000748,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Menage a Trois California Red Table Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0009998807109,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Stella Rosa L'Original Stella Rosso Red Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263013,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Stella Rosa Peach Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263221,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Moscato White Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500001668,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Meiomi Pinot Noir Red Wine,750 mL,24.27,https://www.kroger.com/product/images/medium/front/0085516500507,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Cook's Brut White Champagne Sparkling Wine,750 mL,8.99,https://www.kroger.com/product/images/medium/front/0008380404721,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Clos du Bois Chardonnay White Wine,750 mL,8.56,https://www.kroger.com/product/images/medium/front/0008735651012,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Pink Moscato Blush Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500002045,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Lamarca Sparkling Prosecco Wine,187 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500002243,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Stella Rosa Stella Pink Wine,750 mL,12.84,https://www.kroger.com/product/images/medium/front/0008787263223,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Ruffino Prosecco Sparkling White Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008308590408,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Cellars Moscato White Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0008500001667,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Franzia Crisp White Boxed Wine,5 L,12.99,https://www.kroger.com/product/images/medium/front/0008312010289,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Cellars Chardonnay White Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0001834115105,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Bubbly Brut Cuvee Champagne Sparkling Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0001834175126,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Black Box Cabernet Sauvignon Red Wine,3 L,19.99,https://www.kroger.com/product/images/medium/front/0008143400003,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Nobilo Regional Collection Sauvignon Blanc White Wine,750 mL,11.42,https://www.kroger.com/product/images/medium/front/0008143431530,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Pinot Grigio White Wine,750 mL,5.99,https://www.kroger.com/product/images/medium/front/0008500001444,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",14 Hands Hot To Trot Red Blend Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0008858600448,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Dark Horse Rose Wine,750 mL,9.99,https://www.kroger.com/product/images/medium/front/0008500002421,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Cellars Moscato White Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0008500001667,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Riunite Lambrusco Soft Lively Red Wine,1.5 L,9.99,https://www.kroger.com/product/images/medium/front/0008974476550,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Liberty Creek Vineyards Pinot Grigio White Wine,1.5 L,6.99,https://www.kroger.com/product/images/medium/front/0008500001839,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Barefoot Cellars Pinot Noir Red Wine,1.5 L,7.99,https://www.kroger.com/product/images/medium/front/0008500001736,Wine
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apothic Inferno Red Blend Red Wine,750 mL,14.27,https://www.kroger.com/product/images/medium/front/0008500002490,Wine
