Store,Product,Size,Price,Url,Category
"Ralphs_6300 Irvine Blvd, Irvine, CA",Grapes - Red - Seedless - Sold by the Bag - Estimated Bag Weight 2 Pounds,,4.98,https://www.kroger.com/product/images/medium/front/0000000004023,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Grapes - White Seedless -  Sold by the Bag - Estimated Bag Weight 2 Pounds,,5.98,https://www.kroger.com/product/images/medium/front/0000000004022,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic Banana,,0.35,https://www.kroger.com/product/images/medium/front/0000000094011,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Banana,,0.3,https://www.kroger.com/product/images/medium/front/0000000004011,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Bananas,,0.3,https://www.kroger.com/product/images/medium/front/0007490404011,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Honeycrisp,,1.7,https://www.kroger.com/product/images/medium/front/0000000003283,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Granny Smith - Small,,0.68,https://www.kroger.com/product/images/medium/front/0000000004139,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Gala - Small,,0.59,https://www.kroger.com/product/images/medium/front/0000000004132,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Gala Apples Pouch,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111091825,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Honeycrisp Apples Pouch,3 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111018189,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Banana - Plantains,1 each,0.59,https://www.kroger.com/product/images/medium/front/0000000004235,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Grapes - Black- Seedless - Sold by the Bag - Estimated Bag Weight 2 Pounds,,4.98,https://www.kroger.com/product/images/medium/front/0000000004056,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Gala Apples Pouch,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111069101,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Fuji Apples Pouch,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111018188,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Small Fuji Apples,,0.59,https://www.kroger.com/product/images/medium/front/0000000004129,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Red Delicious - Small,,0.59,https://www.kroger.com/product/images/medium/front/0000000004015,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Honeycrisp Apples Pouch,2 lb,5.99,https://www.kroger.com/product/images/medium/front/0001111069106,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pear - Bartlett,,0.94,https://www.kroger.com/product/images/medium/front/0000000004409,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Fuji - Large,,1.99,https://www.kroger.com/product/images/medium/front/0000000004131,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Fuji Apples Pouch,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111069102,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Pink Lady Apples,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111018999,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Gala,,1.12,https://www.kroger.com/product/images/medium/front/0000000004134,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Simple Truth Organic™ Granny Smith Apples Pouch,2 lb,4.99,https://www.kroger.com/product/images/medium/front/0001111069103,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Berries - Blackberries,6 oz,3.99,https://www.kroger.com/product/images/medium/front/0071575610022,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Granny Smith - Large,,1.5,https://www.kroger.com/product/images/medium/front/0000000004017,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pears - Anjou - Large,,1.12,https://www.kroger.com/product/images/medium/front/0000000004416,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Jazz Apples,3 lb,3.99,https://www.kroger.com/product/images/medium/front/0001111004404,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Pink Cripps - Pink Lady,,1.25,https://www.kroger.com/product/images/medium/front/0000000004130,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pear - Bosc,,0.84,https://www.kroger.com/product/images/medium/front/0000000004413,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Golden Delicious - Small,,0.65,https://www.kroger.com/product/images/medium/front/0000000004021,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Apples - Honeycrisp,,3.0,https://www.kroger.com/product/images/medium/front/0000000093283,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kroger® Red Delicious Apples Pouch,3 lb,2.99,https://www.kroger.com/product/images/medium/front/0001111091830,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Kanzi Apple Pouch,2 lb,3.99,https://www.kroger.com/product/images/medium/front/0084747300442,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Melons - Honeydews,,0.99,https://www.kroger.com/product/images/medium/front/0000000004034,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Jazz - Small,,0.75,https://www.kroger.com/product/images/medium/front/0000000003293,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pears - Red Anjou,,0.5,https://www.kroger.com/product/images/medium/front/0000000004417,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Opal,,1.8,https://www.kroger.com/product/images/medium/front/0000000003618,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Berries - Strawberries,16 oz,3.0,https://www.kroger.com/product/images/medium/front/0003338320038,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apple - Ambrosia,,1.8,https://www.kroger.com/product/images/medium/front/0000000003438,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Apples - Fuji,,1.36,https://www.kroger.com/product/images/medium/front/0000000094131,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Envy,,1.5,https://www.kroger.com/product/images/medium/front/0000000003616,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Bartlett Pear,,0.31,https://www.kroger.com/product/images/medium/front/0000000004024,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Asian Pear,Each,1.99,https://www.kroger.com/product/images/medium/front/0000000004408,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic Granny Smith Apple,,1.6,https://www.kroger.com/product/images/medium/front/0000000094139,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pears Concorde,,1.49,https://www.kroger.com/product/images/medium/front/0000000003016,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Grapes - White Seedless,,3.49,https://www.kroger.com/product/images/medium/front/0000000094022,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Apples - Gala - Large,,1.36,https://www.kroger.com/product/images/medium/front/0000000094134,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Pears Concorde,,1.49,https://www.kroger.com/product/images/medium/front/0000000003016,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Apples - Braeburn,,1.26,https://www.kroger.com/product/images/medium/front/0000000004103,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Two Good Lowfat Vanilla Greek Yogurt,32 oz,5.99,https://www.kroger.com/product/images/medium/front/0003663203920,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Pear - Bartlett,,1.15,https://www.kroger.com/product/images/medium/front/0000000094409,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Melons - Horned - Kiwano,1 each,4.99,https://www.kroger.com/product/images/medium/front/0000000004302,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic Granny Smith Apple,,1.6,https://www.kroger.com/product/images/medium/front/0000000094139,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Gatorade Zero Sugar Glacier Freeze Sports Drink 12 Count,12 bottles / 12 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0005200004342,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Organic - Apples - Fuji - Small,,0.82,https://www.kroger.com/product/images/medium/front/0000000094129,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Powerade Fruit Punch Sports Drink,28 fl oz,0.89,https://www.kroger.com/product/images/medium/front/0004900007938,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Gatorade Thirst Quencher Fruit Punch Sports Drink,32 fl oz,1.0,https://www.kroger.com/product/images/medium/front/0005200033875,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Gatorade Zero Sugar Orange Sports Drink 12 Count,12 bottles / 12 fl oz,5.99,https://www.kroger.com/product/images/medium/front/0005200004338,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Minute Maid Fruit Punch,59 fl oz,2.19,https://www.kroger.com/product/images/medium/front/0002500004772,fruits
"Ralphs_6300 Irvine Blvd, Irvine, CA",Froot Loops Cereal,10.1 oz,3.29,https://www.kroger.com/product/images/medium/front/0003800019886,fruits
